-4.096825 -6.962153 -9.836768, -4.089739 -6.958953 10.184529, -505.273041 508.938416 1.104617, 673.409668 -0.278415 2.922545, 
-4.019408 -6.819030 -9.626159, -4.005688 -6.799652 9.986185, -505.611328 508.585205 0.704959, 673.179993 -0.960127 2.611307, 
-3.941298 -6.696723 -9.432771, -3.932572 -6.664098 9.784247, -505.469788 508.449951 0.298076, 673.005371 -0.995487 2.959624, 
-3.860258 -6.574534 -9.256697, -3.840881 -6.531283 9.599847, -505.745453 507.779907 0.342745, 673.226440 -0.917159 2.955676, 
-3.781585 -6.450951 -9.081308, -3.762492 -6.408214 9.417463, -506.018860 507.170532 0.322613, 673.214600 -0.880602 2.963831, 
-3.710225 -6.329016 -8.920164, -3.691875 -6.286985 9.249795, -506.530670 506.910767 0.305279, 673.192810 -0.812439 2.974091, 
-3.646358 -6.229057 -8.737456, -3.610345 -6.159449 9.079662, -506.672272 506.128204 -0.061013, 673.007141 -0.818431 2.614703, 
-3.582909 -6.120668 -8.585420, -3.547371 -6.052012 8.921289, -506.672272 506.128204 -0.061013, 673.007141 -0.818431 2.614703, 
-3.525425 -6.022093 -8.438065, -3.482336 -5.942789 8.748019, -506.578552 505.913910 0.373624, 672.841431 -0.877350 2.950130, 
-3.601032 -6.226704 -8.265107, -3.274711 -5.505439 8.575818, -507.062653 505.224518 0.271129, 672.572449 -1.131721 2.995624, 
-3.539706 -6.109587 -8.126792, -3.219970 -5.404442 8.439400, -507.441803 505.047119 0.258140, 672.520325 -1.694096 2.962669, 
-3.481000 -6.008259 -7.992009, -3.168704 -5.318397 8.305034, -507.441803 505.047119 0.258140, 672.520325 -1.694096 2.962669, 
-3.441299 -5.941597 -7.840998, -3.101218 -5.203031 8.171732, -507.358185 504.845886 -0.123717, 672.357422 -1.743804 2.622311, 
-3.240059 -5.526440 -7.734218, -3.191198 -5.440759 8.061357, -507.846771 504.121277 -0.099223, 672.315430 -1.962121 2.568008, 
-3.189896 -5.440878 -7.614475, -3.141772 -5.356490 7.936499, -507.846771 504.121277 -0.099223, 672.315430 -1.962121 2.568008, 
-3.145758 -5.365521 -7.497672, -3.089228 -5.268525 7.799172, -507.735046 503.937469 0.290394, 672.159729 -1.999158 2.857505, 
-3.091605 -5.282507 -7.380891, -3.036174 -5.187361 7.677739, -508.023712 503.264160 0.291605, 672.143494 -1.947756 2.867609, 
-3.043670 -5.200104 -7.273646, -2.988615 -5.105960 7.566807, -508.546295 502.985046 0.276239, 672.119263 -1.874717 2.869490, 
-3.166625 -5.259964 -7.148954, -2.747274 -4.884590 7.440754, -508.888428 502.029602 0.463086, 672.233093 -1.806772 2.699075, 
-3.255469 -5.484758 -7.010907, -2.565788 -4.487605 7.305813, -509.092133 501.922485 0.371051, 672.200256 -2.144597 2.750951, 
-3.200684 -5.390864 -6.906957, -2.523300 -4.412612 7.205031, -509.844788 501.112579 0.411218, 672.158020 -2.676800 2.732594, 
-3.188457 -5.362312 -6.783053, -2.454527 -4.302187 7.099895, -509.743866 500.937469 0.033591, 671.981873 -2.739293 2.386174, 
-3.138639 -5.283306 -6.678480, -2.419155 -4.243344 6.998290, -510.078461 500.234344 0.031806, 671.725891 -2.657069 2.398545, 
-3.125145 -5.252435 -6.577044, -2.352246 -4.135760 6.886356, -510.457916 499.845856 0.408586, 671.547485 -2.624552 2.708440, 
-3.075205 -5.176894 -6.481879, -2.316183 -4.080894 6.794532, -510.746521 499.158966 0.434848, 671.533813 -2.582344 2.715969, 
-3.032892 -5.105662 -6.392692, -2.287108 -4.029666 6.709239, -510.746521 499.158966 0.434848, 671.533813 -2.582344 2.715969, 
-2.991727 -5.036365 -6.305925, -2.258753 -3.979708 6.626061, -510.746521 499.158966 0.434848, 671.533813 -2.582344 2.715969, 
-2.903380 -5.143773 -6.195599, -2.271157 -3.734233 6.520575, -511.097656 498.733582 0.152792, 671.665894 -2.814270 2.910513, 
-2.857242 -5.069384 -6.111365, -2.238038 -3.683636 6.442000, -511.910553 497.895569 0.111789, 671.617432 -2.669333 2.907707, 
-2.814592 -5.000947 -6.027488, -2.206638 -3.638543 6.362403, -512.114624 497.316742 0.118331, 671.610046 -2.646621 2.907157, 
-2.775845 -4.932339 -5.950890, -2.179407 -3.592157 6.290475, -512.637695 497.047943 0.099538, 671.582825 -2.561636 2.907869, 
-2.629282 -4.603130 -5.909670, -2.272679 -3.824795 6.263051, -512.721924 496.810974 -0.107614, 671.376892 -2.909138 2.539105, 
-2.591239 -4.543941 -5.833520, -2.241414 -3.778013 6.186946, -512.999512 496.190033 -0.112938, 671.366699 -2.878254 2.536706, 
-2.559528 -4.488333 -5.762130, -2.215544 -3.734409 6.115538, -512.999512 496.190033 -0.112938, 671.366699 -2.878254 2.536706, 
-2.528583 -4.434069 -5.692466, -2.190264 -3.691799 6.045759, -512.999512 496.190033 -0.112938, 671.366699 -2.878254 2.536706, 
-2.498378 -4.381102 -5.624466, -2.165555 -3.650150 5.977555, -512.999512 496.190033 -0.112938, 671.366699 -2.878254 2.536706, 
-2.491571 -4.374512 -5.550415, -2.117794 -3.562266 5.889791, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.462356 -4.323217 -5.485332, -2.094604 -3.523261 5.825299, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.433817 -4.273111 -5.421757, -2.071918 -3.485100 5.762205, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.405932 -4.224154 -5.359639, -2.049717 -3.447757 5.700462, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.378679 -4.176304 -5.298927, -2.027987 -3.411205 5.640029, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.352037 -4.129528 -5.239577, -2.006713 -3.375421 5.580864, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.325984 -4.083786 -5.181540, -1.985881 -3.340380 5.522928, -512.898682 496.010651 0.264944, 671.183350 -2.915103 2.911698, 
-2.478212 -4.178815 -5.090899, -1.767819 -3.154344 5.432732, -513.001709 495.710388 0.465528, 671.313477 -2.915689 2.714362, 
-2.444304 -4.128068 -5.033692, -1.744933 -3.117867 5.377520, -513.751038 494.837891 0.464836, 671.281372 -2.816547 2.714359, 
-2.412484 -4.081096 -4.975925, -1.722217 -3.084978 5.320758, -514.071899 494.078827 0.499376, 671.265076 -2.764699 2.722260, 
-2.432708 -4.104503 -4.895406, -1.653221 -2.977680 5.251718, -514.425903 493.663025 0.191591, 671.071655 -2.710725 2.381391, 
-2.549590 -4.395605 -4.745189, -1.472331 -2.574948 5.102382, -514.908997 492.925079 0.026701, 671.059082 -2.987995 2.409236, 
-2.516491 -4.345427 -4.690222, -1.455301 -2.550087 5.053542, -515.161499 492.285858 -0.003093, 671.049072 -2.956650 2.410350, 
-2.487253 -4.294941 -4.640943, -1.440475 -2.523490 5.009771, -515.714661 491.971954 0.012720, 671.026367 -2.889180 2.411127, 
-2.455117 -4.246614 -4.588019, -1.424082 -2.499515 4.962703, -516.003357 491.296600 -0.046402, 671.012634 -2.846038 2.414878, 
-2.498436 -4.315263 -4.494899, -1.332768 -2.346880 4.860078, -516.480774 490.811981 0.384714, 670.812927 -2.810893 2.773786, 
-2.468804 -4.266917 -4.442144, -1.319461 -2.325553 4.812449, -516.744812 490.142792 0.398694, 670.565308 -2.782595 2.808198, 
-2.442736 -4.221861 -4.395238, -1.308264 -2.305819 4.771611, -516.744812 490.142792 0.398694, 670.565308 -2.782595 2.808198, 
-2.417212 -4.177748 -4.349313, -1.297256 -2.286417 4.731461, -516.744812 490.142792 0.398694, 670.565308 -2.782595 2.808198, 
-2.392216 -4.134547 -4.304338, -1.286431 -2.267339 4.691980, -516.744812 490.142792 0.398694, 670.565308 -2.782595 2.808198, 
