438.102631 -409.954620 402.255188, -412.087830 406.400726 432.665588, 392.623657 426.781311 -427.923035, -419.930206 -423.927063 -407.262573, 
438.770111 -409.262817 402.139496, -412.259399 406.130402 432.894073, 391.969482 427.007751 -428.317780, -419.843842 -424.258972 -406.932465, 
439.138733 -408.885345 401.922180, -412.076874 406.254791 433.020050, 390.856232 427.438843 -428.922577, -419.697052 -425.110718 -406.303558, 
440.132935 -408.285278 401.287018, -412.147003 405.748016 433.582458, 389.642639 427.877655 -429.391388, -419.804596 -425.635132 -405.854309, 
441.122223 -407.800781 401.052277, -411.970367 405.210938 433.975769, 388.759857 427.929474 -430.093842, -419.852570 -426.165833 -405.241516, 
441.908508 -407.067352 400.965546, -411.581451 405.120087 434.060303, 387.762390 427.928436 -431.152893, -419.757629 -427.051788 -404.606598, 
442.460419 -406.848450 400.398682, -411.136658 405.205139 434.609833, 386.634796 428.110352 -431.845184, -420.083740 -427.594604 -403.805603, 
443.312897 -406.154419 399.929993, -411.219177 405.197205 434.986755, 385.729858 428.520782 -432.242737, -420.381470 -427.940247 -402.887878, 
444.107941 -405.793335 399.333588, -410.858368 405.256775 435.297058, 384.941498 428.694305 -432.942505, -420.694092 -428.300842 -402.053528, 
444.854218 -405.301941 399.133850, -410.519135 404.960907 435.941406, 383.726318 428.883087 -433.596954, -420.623810 -428.922150 -401.544373, 
445.308136 -404.978821 399.009949, -410.363251 404.675018 436.300323, 382.957886 428.900513 -434.156494, -420.734344 -429.271301 -401.175995, 
446.036041 -404.116913 398.902740, -410.303375 404.396149 436.718872, 381.755585 429.008667 -435.001038, -420.669861 -429.975433 -400.668793, 
446.947998 -403.756104 398.060516, -409.975800 404.346558 437.099213, 380.730743 429.719025 -435.613647, -420.746124 -430.395111 -399.846619, 
447.449097 -403.313660 397.961609, -409.490814 404.512421 437.704315, 379.513275 429.799408 -436.321381, -420.820160 -431.053741 -399.020874, 
448.248840 -402.945374 397.327118, -409.240936 404.256012 437.854462, 378.529633 430.026459 -436.992279, -420.949677 -431.818848 -398.478973, 
449.109436 -402.198792 397.079529, -409.435791 404.152985 438.089752, 377.773468 430.590881 -437.280121, -420.752228 -432.219910 -397.727539, 
449.887909 -401.761383 396.888550, -409.075745 404.189697 438.495880, 376.721680 430.583984 -437.976837, -420.847351 -432.900330 -396.770660, 
